,x_position,y_position,time
0,977.0,550.0,1.9754700660705566
1,975.0,548.0,0.14459538459777832
2,977.0,551.0,0.13602089881896973
3,978.0,554.0,0.17577600479125977
4,975.0,554.0,0.09635710716247559
5,976.0,553.0,0.22329354286193848
6,970.0,553.0,0.08069658279418945
7,720.0,574.0,0.11186814308166504
8,723.0,575.0,0.10401177406311035
9,720.0,576.0,0.11962723731994629
10,721.0,574.0,0.09653520584106445
11,729.0,581.0,0.10383367538452148
12,735.0,596.0,0.10387611389160156
13,734.0,595.0,0.10411930084228516
14,735.0,594.0,0.10378289222717285
15,736.0,588.0,0.1038367748260498
16,702.0,575.0,0.12037420272827148
17,699.0,574.0,0.09578776359558105
18,694.0,579.0,0.10420680046081543
19,696.0,578.0,0.12000727653503418
20,697.0,569.0,0.10390686988830566
21,697.0,562.0,0.09579920768737793
22,696.0,563.0,0.12030434608459473
23,696.0,555.0,0.11211562156677246
24,694.0,549.0,0.10366010665893555
25,697.0,546.0,0.12023138999938965
26,696.0,553.0,0.11198043823242188
27,698.0,551.0,0.11981701850891113
28,697.0,553.0,0.10388612747192383
29,703.0,556.0,0.11161446571350098
30,633.0,600.0,0.11268854141235352
31,631.0,609.0,0.1121363639831543
32,665.0,608.0,0.11987018585205078
33,662.0,607.0,0.10398507118225098
34,662.0,608.0,0.12001276016235352
35,660.0,603.0,0.1039896011352539
36,664.0,604.0,0.11172866821289062
37,660.0,601.0,0.11137247085571289
38,660.0,607.0,0.11967945098876953
39,661.0,604.0,0.09621953964233398
40,665.0,605.0,0.11179161071777344
41,666.0,598.0,0.1122133731842041
42,674.0,594.0,0.11200475692749023
43,672.0,597.0,0.10376644134521484
44,674.0,588.0,0.10360360145568848
45,674.0,586.0,0.11261987686157227
46,672.0,581.0,0.13600611686706543
47,521.0,566.0,0.1117851734161377
48,521.0,559.0,0.11984133720397949
49,525.0,561.0,0.11138534545898438
50,525.0,571.0,0.11260795593261719
51,518.0,566.0,0.12799310684204102
52,521.0,564.0,0.10400056838989258
53,520.0,578.0,0.11199259757995605
54,525.0,580.0,0.11213994026184082
55,518.0,567.0,0.119873046875
56,481.0,575.0,0.11203122138977051
57,483.0,578.0,0.11985039710998535
58,478.0,573.0,0.12812423706054688
59,476.0,569.0,0.09598970413208008
60,480.0,568.0,0.12774348258972168
61,480.0,576.0,0.11226105690002441
62,404.0,574.0,0.1196444034576416
63,396.0,562.0,0.12034845352172852
64,397.0,561.0,0.12000107765197754
65,398.0,560.0,0.11199188232421875
66,393.0,554.0,0.11170268058776855
67,403.0,567.0,0.1203155517578125
68,1198.0,584.0,0.12798118591308594
69,1162.0,573.0,0.11124777793884277
70,1149.0,563.0,0.11982083320617676
71,1143.0,556.0,0.1287846565246582
72,1144.0,560.0,0.1280193328857422
73,1142.0,559.0,0.1192009449005127
74,1142.0,558.0,0.12878966331481934
75,1119.0,554.0,0.1119840145111084
76,1115.0,553.0,0.11137843132019043
77,1117.0,553.0,0.12082028388977051
78,1118.0,555.0,0.11959385871887207
79,1120.0,553.0,0.12013483047485352
80,1120.0,554.0,0.12808990478515625
81,1120.0,553.0,0.1119832992553711
82,1211.0,525.0,0.13509488105773926
83,1206.0,525.0,0.11190247535705566
84,1414.0,870.0,0.1274704933166504
85,1239.0,630.0,0.12752318382263184
86,1218.0,553.0,0.1276695728302002
87,1210.0,541.0,0.14421319961547852
88,1209.0,541.0,0.1199798583984375
89,1214.0,544.0,0.12006664276123047
90,1213.0,537.0,0.12794017791748047
91,1214.0,536.0,0.11999917030334473
92,1215.0,533.0,0.1119992733001709
93,1210.0,531.0,0.11200094223022461
94,1462.0,559.0,0.2957611083984375
95,1476.0,551.0,0.15186667442321777
96,1478.0,550.0,0.128157377243042
97,1477.0,553.0,0.12818455696105957
98,1530.0,554.0,0.11202836036682129
99,1549.0,555.0,0.11999726295471191
100,1551.0,552.0,0.12793660163879395
101,1547.0,583.0,0.1198577880859375
102,1547.0,573.0,0.12806439399719238
103,1549.0,567.0,0.12815213203430176
104,1606.0,576.0,0.14398431777954102
105,1614.0,587.0,0.11200904846191406
106,1651.0,741.0,0.14391016960144043
107,1638.0,656.0,0.13606500625610352
108,1597.0,586.0,0.12801551818847656
109,1598.0,575.0,0.1280059814453125
110,1591.0,571.0,0.1199960708618164
111,1590.0,572.0,0.11200809478759766
112,1590.0,567.0,0.1196889877319336
113,1592.0,576.0,0.10397505760192871
114,1589.0,566.0,0.14433550834655762
115,1548.0,641.0,0.11213159561157227
116,1510.0,696.0,0.11185097694396973
117,1512.0,692.0,0.12001824378967285
